DMS_id,knob,value,n_Pa,TR,T_N2,q_BH,dBIC,pi_hat,SI,beta_sibling,OR_iface,verdict_flips
GB1_IgG-Fc_fitness_1FCC,floor_mask,off,183690,4.886957809556234,0.5023978077186573,1.0,-11429.501696027117,0.05253056834490074,0.2677064935218304,,,T>=2&q<.05:F->F TR>N1p995:F->F
GB1_IgG-Fc_fitness_1FCC,centring,phi_centred,183690,4.886957809556234,0.5023978077186573,1.0,-11429.501696027117,0.05253056834490074,0.2677064935218304,,,T>=2&q<.05:F->F TR>N1p995:F->F
GB1_IgG-Fc_fitness_1FCC,centring,uncentred,183690,4.8227052450603125,0.5077872403925953,1.0,-10579.83292118879,0.04777979308188262,0.2677064935218304,,,T>=2&q<.05:F->F TR>N1p995:F->F
GB1_IgG-Fc_fitness_1FCC_2016,tau,2,52149,3.8532751500047078,0.7253654288247433,1.0,-2369.686378473678,0.541946969250907,0.4408640709189594,,,T>=2&q<.05:F->F TR>N1p995:F->F
GB1_IgG-Fc_fitness_1FCC_2016,tau,3,52149,3.8532751500047078,0.622788746564892,1.0,-2369.686378473678,0.541946969250907,0.4408640709189594,,,T>=2&q<.05:F->F TR>N1p995:F->F
GB1_IgG-Fc_fitness_1FCC_2016,tau,4,52149,3.8532751500047078,0.4276012408820324,1.0,-2369.686378473678,0.541946969250907,0.4408640709189594,,,T>=2&q<.05:F->F TR>N1p995:F->F
GB1_IgG-Fc_fitness_1FCC_2016,tau,5,52149,3.8532751500047078,0.3353828954723309,1.0,-2369.686378473678,0.541946969250907,0.4408640709189594,,,T>=2&q<.05:F->F TR>N1p995:F->F
GB1_IgG-Fc_fitness_1FCC_2016,tau,6,52149,3.8532751500047078,0.0,1.0,-2369.686378473678,0.541946969250907,0.4408640709189594,,,T>=2&q<.05:F->F TR>N1p995:F->F
GB1_IgG-Fc_fitness_1FCC_2016,tau,8,52149,3.8532751500047078,,1.0,-2369.686378473678,0.541946969250907,0.4408640709189594,,,T>=2&q<.05:F->F TR>N1p995:F->F
GB1_IgG-Fc_fitness_1FCC_2016,sigma_mult,0.5,52149,3.8532751500047078,0.7253654288247433,1.0,-2369.686378473678,0.541946969250907,0.4408640709189594,,,T>=2&q<.05:F->F TR>N1p995:F->F
GB1_IgG-Fc_fitness_1FCC_2016,sigma_mult,1,52149,3.8532751500047078,0.4276012408820324,1.0,-2369.686378473678,0.541946969250907,0.4408640709189594,,,T>=2&q<.05:F->F TR>N1p995:F->F
GB1_IgG-Fc_fitness_1FCC_2016,sigma_mult,2,52149,3.8532751500047078,,1.0,-2369.686378473678,0.541946969250907,0.4408640709189594,,,T>=2&q<.05:F->F TR>N1p995:F->F
GB1_IgG-Fc_fitness_1FCC_2016,scale,latent,52149,3.8532751500047078,0.4276012408820324,1.0,-2369.686378473678,0.541946969250907,0.4408640709189594,,,T>=2&q<.05:F->F TR>N1p995:F->F
GB1_IgG-Fc_fitness_1FCC_2016,scale,raw,52149,6.702083981873333,1.0,1.0,-12508.720652911725,0.18226273603195756,0.4408640709189594,,,T>=2&q<.05:F->F TR>N1p995:F->F
