DMS_id,null,B,from_cache,wall_s,s_per_rep,core_s
KRAS_RAF1-RBD_norfitness_6VJJ,N2c,200,True,0.0,3.051,610.2
KRAS_RAF1_norfitness_6VJJ,N1,200,True,0.0,1.651,330.1
KRAS_RAF1_norfitness_6VJJ,N2,200,True,0.0,0.131,26.2
KRAS_RAF1_norfitness_6VJJ,N2b,200,True,0.0,1.747,349.4
KRAS_RAF1_norfitness_6VJJ,N2c,200,True,0.0,1.615,322.9
KRAS_RALGDS-RBD_norfitness_1LFD,N1,200,True,0.0,2.834,566.8
KRAS_RALGDS-RBD_norfitness_1LFD,N2,200,True,0.0,0.16,32.0
KRAS_RALGDS-RBD_norfitness_1LFD,N2b,200,True,0.0,2.929,585.9
KRAS_RALGDS-RBD_norfitness_1LFD,N2c,200,True,0.0,2.745,548.9
KRAS_SOS1_norfitness_8BE4,N1,200,True,0.0,2.639,527.9
KRAS_SOS1_norfitness_8BE4,N2,200,True,0.0,0.154,30.8
KRAS_SOS1_norfitness_8BE4,N2b,200,True,0.0,2.791,558.2
KRAS_SOS1_norfitness_8BE4,N2c,200,True,0.0,2.54,507.9
SARS2-RBD_ACE2_deltaKd_6M0J,N1,200,True,0.0,5.189,1037.9
SARS2-RBD_ACE2_deltaKd_6M0J,N2,200,True,0.0,0.128,25.6
SARS2-RBD_ACE2_deltaKd_6M0J,N2b,200,True,0.0,5.369,1073.8
SARS2-RBD_ACE2_deltaKd_6M0J,N2c,200,True,0.0,5.103,1020.7
Z-domain_ZSPA-1_LL1_fitness_1LP1,N1,200,True,0.0,25.784,5156.9
Z-domain_ZSPA-1_LL1_fitness_1LP1,N2,200,True,0.0,0.21,42.1
Z-domain_ZSPA-1_LL1_fitness_1LP1,N2b,200,True,0.0,28.14,5628.0
Z-domain_ZSPA-1_LL1_fitness_1LP1,N2c,200,True,0.0,25.878,5175.6
Z-domain_ZSPA-1_LL2_fitness_1LP1,N1,200,True,0.0,1.788,357.7
Z-domain_ZSPA-1_LL2_fitness_1LP1,N2,200,True,0.0,0.117,23.3
Z-domain_ZSPA-1_LL2_fitness_1LP1,N2b,200,True,0.0,2.224,444.7
Z-domain_ZSPA-1_LL2_fitness_1LP1,N2c,200,True,0.0,1.794,358.7
Z-domain_ZpA963_HL1_fitness_2M5A,N1,200,True,0.0,1.004,200.7
Z-domain_ZpA963_HL1_fitness_2M5A,N2,200,True,0.0,0.113,22.5
Z-domain_ZpA963_HL1_fitness_2M5A,N2b,200,True,0.0,1.216,243.2
Z-domain_ZpA963_HL1_fitness_2M5A,N2c,200,True,0.0,1.005,201.1
hYAP65_peptide_FunctioncalScore_1JMQ,N1,200,True,0.0,3.505,701.1
hYAP65_peptide_FunctioncalScore_1JMQ,N2,200,True,0.0,0.144,28.8
hYAP65_peptide_FunctioncalScore_1JMQ,N2b,200,True,0.0,4.155,831.0
hYAP65_peptide_FunctioncalScore_1JMQ,N2c,200,True,0.0,3.591,718.1
