dms_id,stat,n_finite,n_distinct,frac_tied,ref_mean,T_mean,T_median,T_min,T_max,T_sd,ks_p_rand,ks_D_rand,ks_p_mid,ks_p_cons,within_tol,grid_guard_pass,live,note
KRAS_PICK3CG-RBD_norfitness_1HE8,TR1,200,200,0.0,4.935784403208714,1.000013837582462,0.9939330705397758,0.8843753461982278,1.141267654170611,0.052609229145726986,1.0,0.004996531422772621,1.0,1.0,True,True,True,
KRAS_PICK3CG-RBD_norfitness_1HE8,TR2,200,200,0.0,3.022920304755221,1.0000056430486135,0.999272772723182,0.914269810740011,1.096533333111245,0.033595233320887506,1.0,0.004997918945104568,1.0,1.0,True,True,True,
KRAS_PICK3CG-RBD_norfitness_1HE8,TR1_mad,200,200,0.0,7.237608804480763,1.000005925873657,0.9998842562080628,0.9022321320156794,1.116239715719195,0.03442618389588037,1.0,0.0049822187808525875,1.0,1.0,True,True,True,
KRAS_PICK3CG-RBD_norfitness_1HE8,TR2_mad,200,200,0.0,4.649344682430297,1.0000062609113252,1.002156994554324,0.8829767137737642,1.0799032717145758,0.03538513420784973,1.0,0.004983558761178286,1.0,1.0,True,True,True,
KRAS_RAF1-RBD_norfitness_6VJJ,rate_sigma_tau2,200,178,0.001206,0.11147837643142808,1.0000279272273636,0.9905308591363284,0.833123185446653,1.1975402045308838,0.07474145681035463,1.0,0.011216024588513895,1.0,0.9999999998322193,True,True,True,
KRAS_RAF1-RBD_norfitness_6VJJ,rate_sigma_tau3,200,178,0.001256,0.03992460938470328,1.0000682699351733,0.9985961906429384,0.7356907560926107,1.4121478520226576,0.11686263123789434,1.0,0.009448438259615166,1.0,0.9999999998322193,True,True,True,
KRAS_RAF1-RBD_norfitness_6VJJ,rate_sigma_tau4,200,151,0.003166,0.018747174404451398,1.0001250312832115,0.9983953591093178,0.6083160000265814,1.4461668846595308,0.15813982299235835,1.0,0.010918780391430238,0.999999999999994,0.9999948480179858,True,True,True,
KRAS_RAF1-RBD_norfitness_6VJJ,rate_sigma_tau5,200,140,0.003869,0.009837916387212162,1.000213629022831,1.0049612363756328,0.41287873995825164,1.4704558172661137,0.20669868105607167,1.0,0.011247936067073028,0.999999999999994,0.9999948480179858,True,True,True,
KRAS_RAF1-RBD_norfitness_6VJJ,rate_sigma_tau6,200,133,0.004322,0.0053861440246416765,1.0003479450730375,0.9984704610424945,0.3355507818815975,1.7591774065974968,0.2638143229610744,0.9999999999999607,0.012868234458286026,0.999999999999994,0.9999948480179858,True,True,True,
KRAS_RAF1-RBD_norfitness_6VJJ,rate_sigma_tau8,200,90,0.011759,0.0016908860570832402,1.00083480853376,1.013732004429679,0.17556241729157476,2.261867617561845,0.4088404169145896,0.9999999999627223,0.014540166908577845,0.9993642592607782,0.7955464488103132,True,True,True,
KRAS_RAF1-RBD_norfitness_6VJJ,rate_mad_tau2,200,185,0.001005,0.15501204759420723,1.0000171832818028,0.9934260139010823,0.8642725685964139,1.15274370686515,0.05862372905593289,1.0,0.008134062327375013,0.999999999999994,0.9999948480179858,True,True,True,
