i_amp,i_pi,rep,amp,pi,n_inj_variants,n_Pa,pi_edge_realised,amp_recovered,amp_background,resid_mad_oof,n_iter_used,pi_hat,rho_hat,dBIC,pi_ci_lo,pi_ci_hi,s1,s2,TR,TR_ref_p995,TR_pctile,clause1_TR,clause2_sweep,clause3_mixture,run_sigma,run_mad,T_max,supported,refuted,DMS_id,n_Pa_obs,sigma_bias_ratio
2,2,2,4.0,0.02,953,183690,0.02480265664979041,3.6135860224330374,0.7521750376099774,0.20092907932407303,10.0,0.13440406034356028,7.154912582011706,-194074.92331900145,0.13246150547188124,0.13634661521523933,1.041146192449263,7.449309992068813,13.625895849472302,19.014652077609615,68.5,False,False,False,0,0,1.3993751411993542,False,True,GB1_IgG-Fc_fitness_1FCC,183690,1.0593479519203268
3,0,2,6.0,0.001,44,183690,0.0017747291632641952,2.9384405765916615,0.7255824151564043,0.19078828566904937,10.0,0.1230358541555897,7.062208528500917,-188996.4163875928,0.1211671166132276,0.12490459169795179,0.9802517660800782,6.922742382488814,13.707214032391803,19.014652077609615,69.0,False,False,False,0,0,1.270436023605777,False,True,GB1_IgG-Fc_fitness_1FCC,183690,1.0058831720814192
3,1,2,6.0,0.005,249,183690,0.004278948227992814,5.763945734973094,0.7327944258246804,0.19090486087897438,10.0,0.16685919392005708,4.855197092990158,-112394.13083296397,0.1645224797251016,0.16919590811501256,0.955042277503669,4.636918489418513,10.503620790085208,19.014652077609615,12.5,False,False,False,0,0,1.096731124163427,False,True,GB1_IgG-Fc_fitness_1FCC,183690,1.0064977855076798
3,2,2,6.0,0.02,894,183690,0.0283793347487615,4.594889948465703,0.7037128614491726,0.19986509913560396,10.0,0.16156436796970955,6.280200000999102,-164361.823074969,0.15941968469819912,0.16370905124121998,0.9437596584793962,5.926999408125216,11.876370505100256,19.014652077609615,33.5,False,False,False,0,0,1.316874869613981,False,True,GB1_IgG-Fc_fitness_1FCC,183690,1.0537383844185486
0,0,3,2.0,0.001,52,183690,0.002803636561598345,1.254482033557137,0.7168829125915064,0.18970587352776638,10.0,0.13418797681043304,5.069011152015158,-118182.62613152794,0.1320735995667441,0.13630235405412197,0.9792572698337325,4.963866021479107,9.991154709017652,19.014652077609615,9.0,False,False,False,0,0,1.0216928826924478,False,True,GB1_IgG-Fc_fitness_1FCC,183690,1.0001764267518771
0,1,3,2.0,0.005,238,183690,0.004055746093962654,1.8394145498197825,0.7475600365272728,0.18889298599509496,10.0,0.11133873134656797,6.8184404311785185,-178587.71260234946,0.10952918297108585,0.11314827972205008,1.033095774346501,7.044101997083862,13.621701220424516,19.014652077609615,68.5,False,False,False,0,0,1.1414969060121996,False,True,GB1_IgG-Fc_fitness_1FCC,183690,0.9958906820215779
0,2,3,2.0,0.02,887,183690,0.015738472426370515,1.7816852308784699,0.76469159182702,0.19150117377904063,10.0,0.11907811464045838,8.145765629081822,-224516.12161103496,0.11727231297600108,0.12088391630491568,1.0889688441508094,8.870484981824621,15.473622309573885,19.014652077609615,93.0,False,False,False,0,0,1.4811467867159647,False,True,GB1_IgG-Fc_fitness_1FCC,183690,1.0096416950478713
1,0,3,3.0,0.001,52,183690,0.0005661712668082095,2.181866722357653,0.7216263118636692,0.18914891462540365,10.0,0.13653866392569375,5.043456326978697,-117235.4205300376,0.13441048454344628,0.1386668433079412,0.9684066302969174,4.884116546659108,9.160342699988714,19.014652077609615,2.5,False,False,False,0,0,0.9909380725892667,False,True,GB1_IgG-Fc_fitness_1FCC,183690,0.997240001250369
1,1,3,3.0,0.005,198,183690,0.002553214655125483,2.3403061485134584,0.7596462535990047,0.19069212479290557,10.0,0.121884559950147,7.383459825311028,-200538.19919321418,0.12002597278254988,0.12374314711774413,1.0559185600090537,7.79633226662712,15.122767586429237,19.014652077609615,87.5,False,False,False,0,0,1.3039381533053047,False,True,GB1_IgG-Fc_fitness_1FCC,183690,1.0053761880871637
1,2,3,3.0,0.02,873,183690,0.01855299689694594,2.9679492713024285,0.7666232099074406,0.1982468916347202,10.0,0.14442565336137864,5.641505256768993,-141441.92269413464,0.1423096133941604,0.14654169332859687,1.0570290992946683,5.963235220228665,11.877734290320964,19.014652077609615,33.5,False,False,False,0,0,1.1923795418973728,False,True,GB1_IgG-Fc_fitness_1FCC,183690,1.045206793035111
2,0,3,4.0,0.001,32,183690,0.00034841308726659044,3.332244846847483,0.7757554495623289,0.19327084092489805,10.0,0.13205448810335704,7.54616653742887,-206385.27426463808,0.13015028382682434,0.13395869237988975,1.0406361017063273,7.852813328336712,14.392994588782832,19.014652077609615,77.5,False,False,False,0,0,1.612289991789774,False,True,GB1_IgG-Fc_fitness_1FCC,183690,1.0189718192531443
2,1,3,4.0,0.005,240,183690,0.007066252926125538,2.241486844844366,0.7311637360187229,0.19314259754288857,10.0,0.09191261915541775,7.998576915088013,-211616.7030454568,0.09029866044678,0.0935265778640555,1.0325064689496541,8.258582407219741,15.230475982105661,19.014652077609615,88.0,False,False,False,0,0,1.192411326805561,False,True,GB1_IgG-Fc_fitness_1FCC,183690,1.0182956883290584
2,2,3,4.0,0.02,932,183690,0.02024606674288203,3.3872793443851092,0.6976881297952966,0.2001381285498558,10.0,0.12984958459400353,6.487898331356392,-170510.3638053789,0.12789556151884615,0.1318036076691609,0.9676175902791587,6.277804549363247,11.913962164776432,19.014652077609615,33.5,False,False,False,0,0,1.1243050236663892,False,True,GB1_IgG-Fc_fitness_1FCC,183690,1.0551778632225857
3,0,3,6.0,0.001,43,183690,0.0011377864881049595,5.50192707082385,0.7009247784348124,0.18900196054510718,10.0,0.11199997975374365,6.040861870547,-151066.07471313735,0.11012997118112036,0.11386998832636694,0.9798531662214601,5.91915763056197,12.072141898969116,19.014652077609615,35.0,False,False,False,0,0,0.9685486376145387,False,True,GB1_IgG-Fc_fitness_1FCC,183690,0.9964652228832352
3,1,3,6.0,0.005,211,183690,0.004360607545320921,5.649523020336735,0.7240865323064708,0.19255345235464624,10.0,0.13334958593966875,7.832840905750979,-215593.93963013752,0.13145122552719482,0.13524794635214268,0.9743371586684229,7.6318279524112045,15.60594976820539,19.014652077609615,94.0,False,False,False,0,0,1.4441181170480655,False,True,GB1_IgG-Fc_fitness_1FCC,183690,1.0151895687437416
3,2,3,6.0,0.02,951,183690,0.023283793347487616,6.150601830735483,0.7254924478241164,0.19989258359287757,10.0,0.15235114240235606,6.4047157060990605,-169053.39707239124,0.15026037966365124,0.15444190514106088,0.9870350221033302,6.321678708535033,15.209381775974737,19.014652077609615,88.0,False,False,False,0,0,1.287209059746941,False,True,GB1_IgG-Fc_fitness_1FCC,183690,1.053883289295535
0,0,4,2.0,0.001,36,183690,0.0003919647231749143,1.9455225411522181,0.747799434876271,0.19064253973494863,10.0,0.09955781271813416,6.955674502167307,-179927.63786475465,0.09783949951388483,0.10127612592238348,1.052221129695054,7.318907682461567,13.691769617388847,19.014652077609615,69.0,False,False,False,0,0,1.0698640629046565,False,True,GB1_IgG-Fc_fitness_1FCC,183690,1.0051147633607416
0,1,4,2.0,0.005,235,183690,0.00469268876912189,1.179100229511393,0.7119409661724769,0.19202167933314518,10.0,0.1354640345527283,5.809619295130168,-146596.05206689704,0.13342204631205792,0.13750602279339866,0.9618096679463012,5.587748005143571,10.999164334417667,19.014652077609615,18.5,False,False,False,0,0,1.022680736240372,False,True,GB1_IgG-Fc_fitness_1FCC,183690,1.0123859294541537
